max-path-return_agent_0,mean-path-return_agent_0,last-path-return_agent_0,max-path-return_agent_1,mean-path-return_agent_1,last-path-return_agent_1,episodes,total-samples
-13.376734,-13.701919,-13.701919,-13.376734,-13.701919,-13.701919,54,54
-13.376734,-14.796084,-14.796084,-13.376734,-14.796084,-14.796084,55,55
-13.376734,-14.127032,-14.127032,-13.376734,-14.127032,-14.127032,56,56
-13.376734,-13.954791,-13.954791,-13.376734,-13.954791,-13.954791,57,57
-13.376734,-14.145881,-14.145881,-13.376734,-14.145881,-14.145881,58,58
-13.376734,-13.691485,-13.691485,-13.376734,-13.691485,-13.691485,59,59
-13.376734,-13.590558,-13.590558,-13.376734,-13.590558,-13.590558,60,60
-13.376734,-14.295478,-14.295478,-13.376734,-14.295478,-14.295478,61,61
-13.376734,-13.491467,-13.491467,-13.376734,-13.491467,-13.491467,62,62
-13.376734,-13.419372,-13.419372,-13.376734,-13.419372,-13.419372,63,63
-13.376734,-13.684425,-13.684425,-13.376734,-13.684425,-13.684425,64,64
-13.362479,-13.362479,-13.362479,-13.362479,-13.362479,-13.362479,65,65
-13.362479,-14.714478,-14.714478,-13.362479,-14.714478,-14.714478,66,66
-13.362479,-14.589813,-14.589813,-13.362479,-14.589813,-14.589813,67,67
-13.362479,-14.039896,-14.039896,-13.362479,-14.039896,-14.039896,68,68
-13.362479,-13.572036,-13.572036,-13.362479,-13.572036,-13.572036,69,69
-13.362479,-13.518817,-13.518817,-13.362479,-13.518817,-13.518817,70,70
-13.362479,-14.7227545,-14.7227545,-13.362479,-14.7227545,-14.7227545,71,71
-13.362479,-13.838885,-13.838885,-13.362479,-13.838885,-13.838885,72,72
-13.362479,-13.619964,-13.619964,-13.362479,-13.619964,-13.619964,73,73
-13.362479,-14.659119,-14.659119,-13.362479,-14.659119,-14.659119,74,74
-13.362479,-13.429316,-13.429316,-13.362479,-13.429316,-13.429316,75,75
-13.362479,-14.001819,-14.001819,-13.362479,-14.001819,-14.001819,76,76
-13.362479,-13.541313,-13.541313,-13.362479,-13.541313,-13.541313,77,77
-13.362479,-15.55986,-15.55986,-13.362479,-15.55986,-15.55986,78,78
-13.362479,-14.863321,-14.863321,-13.362479,-14.863321,-14.863321,79,79
-13.362479,-13.640256,-13.640256,-13.362479,-13.640256,-13.640256,80,80
-13.362479,-13.386762,-13.386762,-13.362479,-13.386762,-13.386762,81,81
-13.362479,-13.413318,-13.413318,-13.362479,-13.413318,-13.413318,82,82
-13.362479,-14.044227,-14.044227,-13.362479,-14.044227,-14.044227,83,83
-13.362479,-13.918067,-13.918067,-13.362479,-13.918067,-13.918067,84,84
-13.362479,-13.860234,-13.860234,-13.362479,-13.860234,-13.860234,85,85
-13.362479,-13.44834,-13.44834,-13.362479,-13.44834,-13.44834,86,86
-13.362479,-13.388202,-13.388202,-13.362479,-13.388202,-13.388202,87,87
-13.362479,-13.4899645,-13.4899645,-13.362479,-13.4899645,-13.4899645,88,88
-13.362479,-14.233817,-14.233817,-13.362479,-14.233817,-14.233817,89,89
-13.362479,-13.381213,-13.381213,-13.362479,-13.381213,-13.381213,90,90
-13.362479,-15.780106,-15.780106,-13.362479,-15.780106,-15.780106,91,91
-13.362479,-13.710971,-13.710971,-13.362479,-13.710971,-13.710971,92,92
-13.362479,-13.941573,-13.941573,-13.362479,-13.941573,-13.941573,93,93
-13.362479,-14.090378,-14.090378,-13.362479,-14.090378,-14.090378,94,94
-13.362479,-13.827499,-13.827499,-13.362479,-13.827499,-13.827499,95,95
-13.362479,-13.418213,-13.418213,-13.362479,-13.418213,-13.418213,96,96
-13.362479,-13.892242,-13.892242,-13.362479,-13.892242,-13.892242,97,97
-13.362479,-15.196979,-15.196979,-13.362479,-15.196979,-15.196979,98,98
-13.362479,-14.1412325,-14.1412325,-13.362479,-14.1412325,-14.1412325,99,99
-13.362479,-14.394565,-14.394565,-13.362479,-14.394565,-14.394565,100,100
-13.362479,-13.559455,-13.559455,-13.362479,-13.559455,-13.559455,101,101
-13.362479,-13.366455,-13.366455,-13.362479,-13.366455,-13.366455,102,102
-13.362479,-14.354062,-14.354062,-13.362479,-14.354062,-14.354062,103,103
-13.362479,-13.659118,-13.659118,-13.362479,-13.659118,-13.659118,104,104
-13.362479,-15.002643,-15.002643,-13.362479,-15.002643,-15.002643,105,105
-13.362479,-14.2069645,-14.2069645,-13.362479,-14.2069645,-14.2069645,106,106
